Date,EURUSD
2010-01-31,1.3353
2010-02-28,1.3457
2010-03-31,1.3323
2010-04-30,1.348
2010-05-31,1.3989
2010-06-30,1.3306
2010-07-31,1.3636
2010-08-31,1.3291
2010-09-30,1.2741
2010-10-31,1.2981
2010-11-30,1.2903
2010-12-31,1.3211
2011-01-31,1.3153
2011-02-28,1.3846
2011-03-31,1.3666
2011-04-30,1.3633
2011-05-31,1.407
2011-06-30,1.3547
2011-07-31,1.3374
2011-08-31,1.319
2011-09-30,1.3497
2011-10-31,1.3335
2011-11-30,1.3428
2011-12-31,1.3285
2012-01-31,1.3047
2012-02-29,1.318
2012-03-31,1.376
2012-04-30,1.3478
2012-05-31,1.3383
2012-06-30,1.2862
2012-07-31,1.2828
2012-08-31,1.267
2012-09-30,1.2705
2012-10-31,1.3333
2012-11-30,1.3269
2012-12-31,1.3913
2013-01-31,1.3832
2013-02-28,1.3546
2013-03-31,1.3388
2013-04-30,1.3401
2013-05-31,1.3368
2013-06-30,1.369
2013-07-31,1.3793
2013-08-31,1.3765
2013-09-30,1.4618
2013-10-31,1.4016
2013-11-30,1.3776
2013-12-31,1.311
2014-01-31,1.3077
2014-02-28,1.3135
2014-03-31,1.2931
2014-04-30,1.2619
2014-05-31,1.2251
2014-06-30,1.1594
2014-07-31,1.2002
2014-08-31,1.1987
2014-09-30,1.2164
2014-10-31,1.2267
2014-11-30,1.192
2014-12-31,1.2117
2015-01-31,1.1871
2015-02-28,1.1637
2015-03-31,1.1071
2015-04-30,1.1906
2015-05-31,1.1992
2015-06-30,1.2496
2015-07-31,1.267
2015-08-31,1.1892
2015-09-30,1.1945
2015-10-31,1.2119
2015-11-30,1.1722
2015-12-31,1.211
2016-01-31,1.2219
2016-02-29,1.217
2016-03-31,1.1935
2016-04-30,1.1916
2016-05-31,1.1487
2016-06-30,1.1595
2016-07-31,1.1185
2016-08-31,1.1288
2016-09-30,1.0793
2016-10-31,1.1243
2016-11-30,1.1404
2016-12-31,1.1137
2017-01-31,1.1522
2017-02-28,1.1413
2017-03-31,1.15
2017-04-30,1.1579
2017-05-31,1.0946
2017-06-30,1.055
2017-07-31,1.0439
2017-08-31,1.0483
2017-09-30,1.0269
2017-10-31,1.0271
2017-11-30,0.9774
2017-12-31,0.9708
2018-01-31,1.0128
2018-02-28,1.037
2018-03-31,1.0684
2018-04-30,1.069
2018-05-31,1.0759
2018-06-30,1.0848
2018-07-31,1.0933
2018-08-31,1.1336
2018-09-30,1.1796
2018-10-31,1.1914
2018-11-30,1.154
2018-12-31,1.1638
2019-01-31,1.1567
2019-02-28,1.1383
2019-03-31,1.1311
2019-04-30,1.1306
2019-05-31,1.0655
2019-06-30,1.0873
2019-07-31,1.1471
2019-08-31,1.1765
2019-09-30,1.161
2019-10-31,1.2031
2019-11-30,1.2035
2019-12-31,1.178
2020-01-31,1.1401
2020-02-29,1.1748
2020-03-31,1.1622
2020-04-30,1.1182
2020-05-31,1.1094
2020-06-30,1.11
2020-07-31,1.0417
2020-08-31,1.0434
2020-09-30,1.0592
2020-10-31,1.1054
2020-11-30,1.1171
2020-12-31,1.1421
2021-01-31,1.1365
2021-02-28,1.1692
2021-03-31,1.2005
2021-04-30,1.1938
2021-05-31,1.2229
2021-06-30,1.2767
2021-07-31,1.2056
2021-08-31,1.1623
2021-09-30,1.1701
2021-10-31,1.1673
2021-11-30,1.201
2021-12-31,1.2178
2022-01-31,1.2101
2022-02-28,1.2257
2022-03-31,1.2232
2022-04-30,1.1977
2022-05-31,1.2433
2022-06-30,1.305
2022-07-31,1.2889
2022-08-31,1.2697
2022-09-30,1.3203
2022-10-31,1.368
2022-11-30,1.3851
2022-12-31,1.3896
2023-01-31,1.4437
2023-02-28,1.4657
2023-03-31,1.4253
2023-04-30,1.4986
2023-05-31,1.5217
2023-06-30,1.5426
2023-07-31,1.5325
2023-08-31,1.5929
2023-09-30,1.613
2023-10-31,1.6098
2023-11-30,1.6349
2023-12-31,1.6504
2024-01-31,1.6841
2024-02-29,1.6638
2024-03-31,1.6683
2024-04-30,1.7148
2024-05-31,1.7638
2024-06-30,1.7614
2024-07-31,1.7234
2024-08-31,1.714
2024-09-30,1.7271
2024-10-31,1.7323
2024-11-30,1.731
2024-12-31,1.6376
